variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-sma200-rsi2<15-rsi,L,sma200,2,15,rsi,IS,2526,0.6642913697545526,0.003714610127268882,1.2589249365872455,6.258115597783056,0.14647664291369755,0.07555267140589028,-0.23494792141114573,0.4836050025339651,0.6682539682539682,0.6936521239696019
L-sma200-rsi2<15-rsi,L,sma200,2,15,rsi,OOS,3522,0.6672345258375922,0.0057970197298302375,1.4454315689138122,6.440090857467348,0.10533787620670074,0.20861358556508702,-0.2208957998767851,1.1378046762396148,0.7920847268673356,0.6614368402729148
L-sma200-rsi2<15-chan,L,sma200,2,15,chan,IS,2231,0.5741819811743613,0.0018728104139258716,1.0891960801661547,10.14074406095921,0.1994621246077992,0.052372432416228465,-0.30623044752101525,0.36085525537120994,0.7683862433862435,0.7472633434668208
L-sma200-rsi2<15-chan,L,sma200,2,15,chan,OOS,3162,0.6068943706514864,0.008743030020408485,1.4891544502356733,10.243516761543328,0.14927261227071473,0.22198640227221178,-0.222556030287819,1.2437447215870387,0.8917502787068006,0.7061763628360362
L-sma200-rsi2<15-sma5+choch,L,sma200,2,15,sma5+choch,IS,2824,0.6239376770538244,0.0022874570174032283,1.2040294610076132,4.164305949008498,0.08640226628895184,0.040153474775446174,-0.22412567712728826,0.326514377013468,0.58994708994709,0.5946925475136122
L-sma200-rsi2<15-sma5+choch,L,sma200,2,15,sma5+choch,OOS,4004,0.6171328671328671,0.004472754690227397,1.456147157348242,4.235014985014985,0.056943056943056944,0.2487452892774049,-0.13716701937418763,1.4109669138875602,0.758416945373467,0.6311943172254252
L-sma200-rsi2<15-time5,L,sma200,2,15,time5,IS,2631,0.5267958950969214,0.0023125861127675086,1.1487565237784207,6.894716837704295,0.08665906499429875,0.038262775674634986,-0.2628624137372296,0.2928884157653392,0.7260582010582011,0.7392547258117365
L-sma200-rsi2<15-time5,L,sma200,2,15,time5,OOS,3675,0.5624489795918367,0.007595708342931946,1.5341893355167073,7.05795918367347,0.060408163265306125,0.24138416818271047,-0.2626512421754229,1.3115977022129612,0.8494983277591973,0.7033791858596761
L-sma200-rsi3<5-sma5,L,sma200,3,5,sma5,IS,206,0.6699029126213593,0.00555672155585992,1.3774392438324157,4.830097087378641,0.1650485436893204,0.03743369822754339,-0.08632943295825435,0.5799564097305507,0.08955026455026456,0.3042981933363351
L-sma200-rsi3<5-sma5,L,sma200,3,5,sma5,OOS,254,0.7047244094488189,0.006881469168237108,1.661847346167162,5.291338582677166,0.07086614173228346,0.04844203836900074,-0.06801685506484956,0.9606107541672743,0.10089186176142698,0.44855355891468296
L-sma200-rsi3<5-rsi,L,sma200,3,5,rsi,IS,205,0.5902439024390244,0.00668195666185522,1.2918579050725107,8.585365853658537,0.24390243902439024,0.027962307373279982,-0.10932708623072174,0.3398614295178087,0.15185185185185182,0.45975331235218575
